question,sql
Healthcare transactions customer 8,SELECT * FROM transactions WHERE customer_id = 8 AND category = 'Healthcare'
Entertainment spending customer 3 this year,SELECT SUM(amount) FROM transactions WHERE customer_id = 3 AND category = 'Entertainment' AND date >= '2024-01-01'
Transport charges customer 16 March 2023,SELECT * FROM transactions WHERE customer_id = 16 AND category = 'Transport' AND date BETWEEN '2023-03-01' AND '2023-03-31'
Tim Hortons spend customer 2,SELECT SUM(amount) FROM transactions WHERE customer_id = 2 AND merchant = 'Tim Hortons'
Netflix charges customer 5,SELECT * FROM transactions WHERE customer_id = 5 AND merchant = 'Netflix' ORDER BY date
Amazon visits customer 10,SELECT COUNT(*) FROM transactions WHERE customer_id = 10 AND merchant = 'Amazon'
Air Canada total customer 20,SELECT SUM(amount) FROM transactions WHERE customer_id = 20 AND merchant = 'Air Canada'
IKEA transactions customer 7,SELECT * FROM transactions WHERE customer_id = 7 AND merchant = 'IKEA'
Statement customer 3 January 2024,SELECT * FROM transactions WHERE customer_id = 3 AND date BETWEEN '2024-01-01' AND '2024-01-31' ORDER BY date
Full history customer 50,SELECT * FROM transactions WHERE customer_id = 50 ORDER BY date
Q1 2023 statement customer 12,SELECT * FROM transactions WHERE customer_id = 12 AND date BETWEEN '2023-01-01' AND '2023-03-31' ORDER BY date
Year end 2023 customer 8,SELECT * FROM transactions WHERE customer_id = 8 AND date BETWEEN '2023-01-01' AND '2023-12-31' ORDER BY date
Transactions over 2000 customer 5,SELECT * FROM transactions WHERE customer_id = 5 AND amount > 2000 ORDER BY date DESC
Largest transaction customer 1,SELECT * FROM transactions WHERE customer_id = 1 ORDER BY amount DESC LIMIT 1
Months of data customer 7,"SELECT COUNT(DISTINCT strftime('%Y-%m', date)) FROM transactions WHERE customer_id = 7"
Credits received customer 11 2023,SELECT SUM(amount) FROM transactions WHERE customer_id = 11 AND is_credit = 1 AND date LIKE '2023%'
Net cashflow customer 6 2024,SELECT SUM(CASE WHEN is_credit=1 THEN amount ELSE -amount END) FROM transactions WHERE customer_id = 6 AND date LIKE '2024%'
Shopping transactions customer 9,SELECT * FROM transactions WHERE customer_id = 9 AND category = 'Shopping'
Average grocery spend customer 15,SELECT AVG(amount) FROM transactions WHERE customer_id = 15 AND category = 'Groceries'
All 2022 transactions customer 33,SELECT * FROM transactions WHERE customer_id = 33 AND date LIKE '2022%' ORDER BY date
Spending per year customer 10,"SELECT strftime('%Y', date) AS year, SUM(amount) FROM transactions WHERE customer_id = 10 AND is_credit = 0 GROUP BY year"
Unique merchants customer 3,SELECT COUNT(DISTINCT merchant) FROM transactions WHERE customer_id = 3
Minimum transaction customer 8,SELECT MIN(amount) FROM transactions WHERE customer_id = 8
Debit count customer 7,SELECT COUNT(*) FROM transactions WHERE customer_id = 7 AND is_credit = 0
Entertainment customer 21,SELECT * FROM transactions WHERE customer_id = 21 AND category = 'Entertainment'
Utilities customer 5 in 2023,SELECT * FROM transactions WHERE customer_id = 5 AND category = 'Utilities' AND date LIKE '2023%'
Total transfers customer 30,SELECT SUM(amount) FROM transactions WHERE customer_id = 30 AND category = 'Transfers'
Shopping over 800 customer 4,SELECT * FROM transactions WHERE customer_id = 4 AND category = 'Shopping' AND amount > 800
5 recent transactions customer 2,SELECT * FROM transactions WHERE customer_id = 2 ORDER BY date DESC LIMIT 5
Groceries over 300 customer 9,SELECT * FROM transactions WHERE customer_id = 9 AND category = 'Groceries' AND amount > 300
Rogers charges customer 18,SELECT * FROM transactions WHERE customer_id = 18 AND merchant = 'Rogers'
Customer categories count customer 5,SELECT COUNT(DISTINCT category) FROM transactions WHERE customer_id = 5
Total inflows customer 44,SELECT SUM(amount) FROM transactions WHERE customer_id = 44 AND is_credit = 1
April to September 2023 customer 25,SELECT * FROM transactions WHERE customer_id = 25 AND date BETWEEN '2023-04-01' AND '2023-09-30' ORDER BY date
Transactions on 2023-12-25,SELECT * FROM transactions WHERE date = '2023-12-25'
